67;104;127;"1 1/4"
67;281;127;"1/4"
67;319;127;"1/4"
67;178;120;"1/4"
68;1;127;"2"
68;320;127;"1/2"
68;220;122;"1"
68;259;109;"1"
68;34;1;"1 "
69;238;127;"1"
69;80;127;"1/2"
69;261;6;"1/2"
70;226;7;"10"
70;192;119;"4"
70;227;95;"2 1/2"
70;316;20;"1"
70;212;95;"2 1/2"
71;38;125;"1/2"
71;184;125;"1/2"
71;323;109;"1"
72;303;8;"1"
72;320;106;"7"
73;1;127;"3/4"
73;294;127;"3/4"
73;237;127;"3/4"
73;264;127;"3/4"
73;98;109;"1"
74;116;27;"125"
74;184;79;"3/4"
74;212;1;
75;227;95;"8"
75;212;95;"6"
75;76;12;"1"
75;20;9;"1"
75;21;10;"1"
76;22;1;"6 cl"
76;133;112;"2"
76;219;11;"2"
77;23;12;"1/2"
77;24;12;"1/2"
77;25;109;"1"
78;244;127;"1 1/2"
78;282;1;"Juice of 1/2 "
78;272;122;"1"
79;226;99;"3"
79;131;107;"1"
80;1;127;"1 1/2"
80;205;127;"4"
80;282;1;"1 "
81;148;107;"2"
81;249;107;"1"
81;279;121;"2"
81;307;1;"Float Bacardi "
82;260;127;"2 1/2"
82;254;122;"1 1/2"
82;165;85;"1"
83;1;127;"1 2/3"
83;254;127;"1/3"
83;252;1;"1 "
84;203;1;
84;312;1;
84;297;1;
85;316;1;"70ml/2fl oz"
85;254;13;"1"
85;26;13;"2"
85;322;49;"1"
85;252;1;"1"
86;27;107;"1"
86;317;107;"1"
86;262;107;"1"
86;321;1;"cubes"
87;28;122;"2"
87;282;1;"1"
87;36;127;"2 1/2"
88;124;1;"5 cl"
88;310;128;"2.5"
88;29;128;"2.5"
88;30;128;"1.5"
88;311;112;"2"
88;278;1;"Pinch"
88;31;14;"2"
89;193;1;"5 cl"
89;100;128;"10"
90;118;127;"0.75"
90;55;127;"0.25"
91;32;127;"1 1/2"
91;1;127;"3/4"
91;209;109;"1"
91;165;85;"1"
92;103;127;"2"
92;184;127;"6-8"
92;168;15;"1"
92;33;1;"1 "
92;116;16;"2"
92;208;1;"Fresh "
93;98;121;"2"
93;176;1;"Top"
94;71;119;"2"
94;184;17;"6"
94;317;127;"6"
95;34;1;"6 "
95;184;95;"2"
95;244;120;"1/2"
